Election,Department,Year,Candidate Name,Party,First Round Total Votes,1st Round Percentage of votes,2nd Round Total Votes,2nd Round Percentage of votes,,
,,Year,,,,,,,,
,,Year,,,,,,,2016 presidential election,http://psephos.adam-carr.net/countries/h/haiti/haiti20161.txt
,,Year,,,,,,,,
PRESIDENTIAL ELECTION,,Nov-16,Jude Célestin,LAPEH,"207,988",19.6,,,,
PRESIDENTIAL ELECTION,,Nov-16,Jean-Charles Moïse,PPD,"117,349",11,,,,
PRESIDENTIAL ELECTION,,Nov-16,Jovenel Moïse,PHTK,"590,927",55.6,,,,
PRESIDENTIAL ELECTION,,Nov-16,Maryse Narcisse,FL,"95,765",9,,,,
PRESIDENTIAL ELECTION,,Nov-16,24 others,,"50,810",4.8,,,,
PRESIDENTIAL ELECTION,,Nov-16,,,,,,,,
PRESIDENTIAL ELECTION,,Nov-16,,,,,,,2016 legislative election,
PRESIDENTIAL ELECTION,,Nov-16,,,,,,,Senate election,http://psephos.adam-carr.net/countries/h/haiti/haiti20162.txt
PRESIDENTIAL ELECTION,,Nov-16,,,,,,,,
SENATE 1st Round Election,,Nov-16,Gracia DELVA,AAA,"37,323",28.5,,,,
SENATE 1st Round Election,,Nov-16,Marc Antoine Aldorphe,Bouclier,"20,495",15.6,,,,
SENATE 1st Round Election,,Nov-16,Levaillant Louis-Jeune,Inite,"16,664",12.7,,,,
SENATE 1st Round Election,,Nov-16,Michel Chrysostome,LAPEH,"15,978",12.2,,,,
SENATE 1st Round Election,,Nov-16,Patrick Joseph,PD,"12,893",9.8,,,,
SENATE 1st Round Election,,Nov-16,Jean Willy Jean-Baptiste,RDNP,"8,513",6.5,,,,
SENATE 1st Round Election,,Nov-16,Patrice Israel,Fanmi Lavalas,"5,854",4.5,,,,
SENATE 1st Round Election,,Nov-16,9 others,,"11,416",8.7,,,,
SENATE 1st Round Election,,Nov-16,,,,,,,,
SENATE 1st Round Election,CENTRE,Nov-16,Rony CELESTIN,PHTK,"25,630",31.7,,,,
SENATE 1st Round Election,CENTRE,Nov-16,Abel Descollines,KID,"15,259",18.9,,,,
SENATE 1st Round Election,CENTRE,Nov-16,Bazelais Francois,LAPEH,"9,914",12.3,,,,
SENATE 1st Round Election,CENTRE,Nov-16,Joseph Joel Louis,KontraPepLa,"7,391",9.2,,,,
SENATE 1st Round Election,CENTRE,Nov-16,Romial Smith,Fanmi Lavalas,"6,708",8.3,,,,
SENATE 1st Round Election,CENTRE,Nov-16,Eddy John Marcadieu,PD,"6,112",7.6,,,,
SENATE 1st Round Election,CENTRE,Nov-16,Francisco Delacruz,OPL,"3,853",4.8,,,,
SENATE 1st Round Election,CENTRE,Nov-16,3 others,,"4,641",5.8,,,,
SENATE 1st Round Election,CENTRE,Nov-16,,,,,,,,
SENATE 1st Round Election,GRAND ANSE,Nov-16,Riche ANDRIS,OPL,"17,350",30.8,,,,
SENATE 1st Round Election,GRAND ANSE,Nov-16,Jean Rigaud Belizaire,Consortium,"16,045",28.5,,,,
SENATE 1st Round Election,GRAND ANSE,Nov-16,Vincent Casseus,LAPEH,"5,934",10.5,,,,
SENATE 1st Round Election,GRAND ANSE,Nov-16,Marie Roselore Aubourg,KID,"3,590",6.4,,,,
SENATE 1st Round Election,GRAND ANSE,Nov-16,Jean Joubert Michel,PD,"2,420",4.3,,,,
SENATE 1st Round Election,GRAND ANSE,Nov-16,Frederic Cheron,,"2,419",4.3,,,,
SENATE 1st Round Election,GRAND ANSE,Nov-16,Guibert Barthelemy,Fanmi Lavalas,"2,321",4.1,,,,
SENATE 1st Round Election,GRAND ANSE,Nov-16,5 others,,"4,799",8.5,,,,
SENATE 1st Round Election,GRAND ANSE,Nov-16,,,,,,,,
SENATE 1st Round Election,NIPPES,Nov-16,Denis Cadeau,Bouclier,"10,320",21.1,,,,
SENATE 1st Round Election,NIPPES,Nov-16,Louberson Vilson,Fanmi Lavalas,"10,296",21,,,,
SENATE 1st Round Election,NIPPES,Nov-16,Carme Sineas Dumelfort,PHTK,"9,358",19.1,,,,
SENATE 1st Round Election,NIPPES,Nov-16,Dieusseul Arice,Concorde,"8,991",18.4,,,,
SENATE 1st Round Election,NIPPES,Nov-16,Lubern Pierre,Fusion,"6,532",13.3,,,,
SENATE 1st Round Election,NIPPES,Nov-16,Michelet Casimir,PD,"2,157",4.4,,,,
SENATE 1st Round Election,NIPPES,Nov-16,Nickel Pierre,Renmen Ayiti,747,1.5,,,,
SENATE 1st Round Election,NIPPES,Nov-16,Vladimir Yayo,APLA,186,0.4,,,,
SENATE 1st Round Election,NIPPES,Nov-16,,,,,,,,
SENATE 1st Round Election,NORD,Nov-16,Jean Marie Ralph FETHIERE,PHTK,"47,997",35.7,,,,
SENATE 1st Round Election,NORD,Nov-16,Theodore Saintilus,PD,"18,891",14,,,,
SENATE 1st Round Election,NORD,Nov-16,Frandy Louis,Bouclier,"15,558",11.6,,,,
SENATE 1st Round Election,NORD,Nov-16,Sergilus Docteur,Verite,"14,495",10.8,,,,
SENATE 1st Round Election,NORD,Nov-16,Westner Polycarpe,MRA,"6,867",5.1,,,,
SENATE 1st Round Election,NORD,Nov-16,Hidson Nelson,PF,"6,693",5,,,,
SENATE 1st Round Election,NORD,Nov-16,Angelot Bell,Fanmi Lavalas,"5,158",3.8,,,,
SENATE 1st Round Election,NORD,Nov-16,9 others,,"17,197",12.8,,,,
SENATE 1st Round Election,NORD,Nov-16,,,,,,,,
SENATE 1st Round Election,NORD EST,Nov-16,Wanique PIERRE,PHTK,"42,436",58.7,,,,
SENATE 1st Round Election,NORD EST,Nov-16,Jean-Baptiste Bien-Aime,Fanmi Lavalas,"18,530",25.7,,,,
SENATE 1st Round Election,NORD EST,Nov-16,Duchene Petit Frere,PD,"5,821",8.1,,,,
SENATE 1st Round Election,NORD EST,Nov-16,Enance Saint Fleur,OPL,"2,135",3,,,,
